input,allResults
도심 한가운데에서 갑자기 불꽃놀이가 터지고 모두가 휴대폰을 꺼내는 장면을 만들어줘,
,"[{'optimizedPrompt': '[Main Subject]\nA diverse group composed of young adults and children of various ethnicities and appearances. They gather in the vibrant center of a city, with lively expressions and distinct casual urban clothing. Each individual appears unique in hairstyle, outfit, and age range (teens to young adults, and elementary-age children).\n\n[Context]\nA thriving metropolitan scene at dusk — cafe-lined streets, towering glass buildings, a nearby park with trees in the background, and historic architecture framing the setting. Neon lights and city signage glow subtly as night begins to fall.\n\n[Action]\nSuddenly, spectacular fireworks in artistic patterns erupt above the skyline. All people instantly react by quickly taking out their phones, holding them up to capture the display. Their gazes collectively shift skyward, awe on their faces; some children point upwards, while a group of friends gathers for a dynamic group selfie, their attention fully absorbed by the moment.\n\n[Style]\nVivid, cinematic realism capturing vibrant city colors. Artistic interpretation of fireworks with detailed, swirling and patterned light effects. Expressive lighting heightens faces and surroundings, emphasizing excitement and wonder.\n\n[Camera Motion]\nStarts with a panning wide shot that slowly rises upward to follow people\'s gaze, then gently zooms in on individuals and small groups. The camera occasionally tracks a hand reaching for a mobile phone or follows the lens of a phone up to the illuminated sky.\n\n[Composition]\nWide-angle, street-level shot initially, showcasing the bustling crowd and urban landscape. Progresses to medium shots focusing on smaller groups and close-ups highlighting emotions—especially eyes and smiles—set against bursts of fireworks. Balanced arrangement to keep both the crowd and the city’s architectural features in frame. No blur, distortion, or unwanted objects allowed.\n\n[Atmosphere]\nEnergetic, awe-inspired mood; the city bathed in the glow and reflections of fireworks, gentle twilight gradients contrasted with bright, multicolored pyrotechnic lights. The burble of the crowd, excited voices, and the snap of camera shutters blend with the distant percussive sounds of fireworks.\n\n[Additional Rule]\nEvery visual and narrative element must strictly derive from the provided keyword scope. Focus on inclusion, clear emotions, and harmony between urban vibrance, people’s reactions, and artistic firework displays.\n\n[Scripts]\n<Young Adult 1: ""Look at those fireworks!""><Child: ""Wow, hurry up, take a picture!""><Young Adult 2: ""This is amazing — everyone, group selfie!""><Child 2: ""I’ve never seen this in the city before!"">', 'koreanSummary': '도심 중심에서 불꽃놀이가 예술적으로 펼쳐지고, 청년과 어린이 등 다양한 사람들이 휴대폰을 꺼내 감탄하며 촬영하는 순간을 도시의 활기와 함께 시네마틱하게 그려냄'}]"
산속에서 빛나는 정체불명의 물체를 발견한 탐험가들이 서로를 바라보는 장면을 만들어줘,
,"[{'optimizedPrompt': '[Main Subject]\nAn elderly male explorer with weathered features, dressed in rugged outdoor attire, stands in a snowy mountain landscape. He is joined by other explorers (elderly males), all gathered around mysterious glowing objects: a shimmering orb, a massive metallic structure, a formless plume of smoke, and a radiant crystal.\n\n[Context]\nThe group is deep in snow-covered mountains and amidst rough rocky hills, surrounded by cold mist and a stark, wintry atmosphere. Unidentified luminous objects lie half-buried or hovering, casting surreal, shifting light onto the explorers and the rugged terrain.\n\n[Action]\nThe explorers stand tense and alert, looking at each other with a mix of awe, curiosity, and apprehension, forming a circle or semi-circle around the unexplained objects. The air crackles with energy as the scene captures a moment of silent, intense confrontation and wonder.\n\n[Style]\nCinematic realism with high-contrast lighting; crisp, detailed textures on clothing, metallic objects, crystals, and snow; subtle blue and white tones with radiant highlights from the glowing objects.\n\n[Camera Motion]\nSlow tracking shot that circles around the explorers and the objects, capturing shifting reflections on faces and artifacts as the camera viewpoint glides closer, emphasizing the tense eye contact between the explorers.\n\n[Composition]\nMedium-wide shot: the explorers form a central ring in the foreground, illuminated by the mysterious objects. The mountain and rocky hills stretch into the distance, while swirling mist frames the illuminated scene. The glowing objects are distinct and visually dominant, without any blur or distortion.\n\n[Atmosphere]\nAn air of suspense and reverence dominates; the cold, shimmering light from the objects enhances the mood of anxious confrontation and deep curiosity. The sharp color contrast and crispness add to the cinematic, awe-inspiring feeling.\n\n[Additional Rule]\nExclude modern equipment, signs of civilization, blur, distortion, or unwanted objects. Focus solely on the elderly male explorers, the specified mysterious objects, and the natural snowy, rocky landscape as described.\n\n[Scripts]\n<Explorer 1: ""What... are these things?""> <Explorer 2: ""I can\'t explain it. Nothing like this should exist here.""> <Explorer 3: ""Do you feel that? It\'s like the air is alive.""> <Explorer 1: ""Keep your eyes open and stay close. We don\'t know what might happen next."">', 'koreanSummary': '노익장 남성 탐험가들이 눈 덮인 산과 바위 언덕에서 빛나는 정체불명의 구체, 거대한 금속 구조, 연기, 크리스탈을 발견하고 긴장감 속에 서로를 바라보는 순간을 묘사한 시네마틱 장면'}]"
운동 경기에서 결승골이 들어가자 관중들이 환호하는 장면을 만들어줘,
,"[{'optimizedPrompt': '[Main Subject]\nA group of female athletes, dressed in a mix of team uniforms and regular clothing, celebrating on the field. Energetic female spectators in the stands rise in excitement, expressing joy and unity.\n\n[Context]\nA sports stadium scene, featuring the field, bustling team benches, and packed audience stands. The moment immediately follows a decisive winning goal during a match.\n\n[Action]\nOn the field, female players leap into the air with exhilarated expressions, embracing and shouting in triumph. In the audience, women stand up, waving arms, faces lit up with excitement, some hugging each other in a moment of shared euphoria. Shock and surprise mix with elation across both players and spectators.\n\n[Style]\nDynamic realism, capturing heightened emotions and motion. Vivid color palette emphasizing reds, blues, and greens brought out by stadium lights. Focus on expressive details—intense faces, team uniforms, movement in hair and clothing.\n\n[Camera Motion]\nFast pan across the stadium stands to capture the eruption of excitement, transitioning into a smooth tracking shot focusing on the celebrating female players and then back up to the delighted crowd.\n\n[Composition]\nWide shot of the field and benches, integrating the team bench in the foreground and audience in the background. Alternating with close-ups: female players celebrating in the center, and groups of female fans hugging, clapping, and cheering in the stands.\n\n[Atmosphere]\nCharged, joyful, and almost electric. Stadium lights create strong contrast and crisp shadows, highlighting sparkling eyes and energetic body language. The unified excitement and shared surprise intensify the sense of community.\n\n[Additional Rule]\nNo blur, distortion, or unwanted objects in the scene. Every face and gesture should convey genuine excitement, unity, and surprise as described. Ensure all main figures are clearly female and dressed per the scene context.\n\n[Scripts]\n< Female Player: ""We did it! Yes!"" > < Female Spectator: ""Unbelievable! That\'s the winning goal!"" > < Female Player: ""Let\'s go, team!"" > < Female Spectator: ""This is incredible! We are champions together!"" >', 'koreanSummary': '결승골이 성공한 직후, 경기장 운동장과 관중석에서 여성 선수들과 여성 관중들이 환희와 흥분으로 하나 되어 열광적으로 환호하는 장면'}]"
유리창 너머로 눈이 내리기 시작하자 사람들이 조용히 바라보는 장면을 만들어줘,
,"[{'optimizedPrompt': '[Main Subject]\nA child and an adult standing together, both gazing quietly through a cold window.\n\n[Context]\nIt is a chilly day, the temperature is low. Outside the window, trees sway softly in the wind, and gentle snowflakes have just begun to fall beyond the glass.\n\n[Action]\nThe child and the adult stand side by side in silence, their attention fixed on the scene outside. There is a brief moment of quiet conversation, followed by a meaningful shared silence as they observe the snow and the wind-blown trees.\n\n[Style]\nCinematic realism, soft muted color palette to evoke the chill and stillness of the moment, with subtle highlights reflecting off the glass.\n\n[Camera Motion]\nSlow dolly-in from behind the child and adult towards the window, capturing their reflections and the falling snow outside. The camera pauses to linger on their serene faces and the trees moving gently in the cold wind.\n\n[Composition]\nMedium-wide shot framing both the child and adult in the foreground, their backs and profiles softly lit. The frosted window pane dominates the midground, while outside, blurred outlines of swaying trees and snow set the distant background.\n\n[Atmosphere]\nThe ambience is tranquil and contemplative, with a delicate balance of coldness from the environment and warmth from the quiet connection between the two figures. The gentle snow and moving trees create a sense of peaceful transition.\n\n[Additional Rule]\nDo not include blur or distortion on the main characters or window pane. All elements must derive strictly from the given keywords: a cold day, a child and an adult, quiet conversation, momentary silence, wind-swayed trees.\n\n[Scripts]\n<Child: ""It\'s really starting to snow now.""> <Adult: ""Yes, it feels colder every minute.""> <Child: ""...""> <Adult: ""Let\'s just watch for a while."">', 'koreanSummary': '기온이 낮은 날, 아이와 어른이 유리창 너머로 바람에 흔들리는 나무와 막 내리기 시작한 눈을 조용히 바라보며 잠깐 대화하다 침묵에 잠기는 장면'}]"
지하철 안에서 갑자기 꺼진 조명에 사람들이 놀라는 순간을 영상으로 만들어줘,
,"[{'optimizedPrompt': '[Main Subject]\nA diverse group of subway passengers, featuring various outfits and visible anxious gestures, seated and standing within a subway car.\n\n[Context]\nInside a dimly lit subway carriage currently stopped at a station, surrounded by the authentic details of a metropolitan train interior.\n\n[Action]\nSuddenly, the lights go out. The passengers react with surprise: some gasp, others clutch their belongings, and a few exchange uneasy glances in the darkness.\n\n[Style]\nStrong contrasts and vivid textures capture the tense atmosphere. The visual tone is accentuated by bold lighting shifts, with the sudden transition from faint illumination to a shadowed environment that highlights human expressions.\n\n[Camera Motion]\nA dynamic tracking shot moves smoothly across the subway car, briefly focusing on different groups of passengers as the light cuts out, then slowly panning to reveal their startled reactions.\n\n[Composition]\nA wide-angle shot establishes the full interior, before moving into several close-ups that emphasize faces, hands, and bodily gestures filled with tension. The composition uses dramatic diagonal lines formed by the architecture and seating, adding energy to the scene.\n\n[Atmosphere]\nMoody, tense, and ambient, heightened by the sudden change in lighting. Subtle reflections and shadows play over vivid surfaces, enhancing the tactile sense of the environment. The contrast between previous softness and now sharp darkness amplifies the passengers\' anxiety.\n\n[Additional Rule]\nAvoid motion blur or distortion; ensure all passenger reactions and interior textures remain crisp and detailed even in low light. No unwanted objects or unrealistic effects. All elements—people, gestures, setting—must strictly derive from the listed keywords.\n\n[Scripts]\n<Passenger 1: ""What happened?""> <Passenger 2: ""Did the power go out?""> <Passenger 3: ""Stay calm, it\'s just the lights.""> <Passenger 4: ""This is making me nervous..."">', 'koreanSummary': '지하철 내부에서 조명이 갑자기 꺼지자 다양한 옷차림의 사람들이 불안한 모습으로 놀라는 순간을 강렬한 대비와 생생한 텍스처, 역동적인 구도로 표현한 영상.'}]"
