input,allResults
도심 한가운데에서 갑자기 불꽃놀이가 터지고 모두가 휴대폰을 꺼내는 장면을 만들어줘,
,"[{'optimizedPrompt': 'In the heart of a bustling city, a diverse group of young adults and children gather along a lively cafe street. Historic buildings and towering skyscrapers frame the background. Suddenly, artistic-patterned fireworks explode brightly in the sky above. Everyone’s attention is drawn upward; both the youth and children quickly pull out their phones, capturing the stunning spectacle. Vibrant colors from the fireworks illuminate their awestruck faces, reflecting off glass building facades. The camera uses a tracking shot, slowly moving through the crowd from a wide shot to a medium shot, focusing on the excitement and collective wonder. The composition highlights the mix of historic and modern cityscape, with no unwanted blur or distortion. The overall atmosphere is one of joyful surprise and shared amazement.', 'koreanSummary': '도심 카페 거리에서 청년과 어린이들이 모여 있는 가운데, 예술적인 불꽃놀이가 터지자 모두가 휴대폰을 꺼내 촬영하는 장면을 시네마틱하게 묘사.'}]"
산속에서 빛나는 정체불명의 물체를 발견한 탐험가들이 서로를 바라보는 장면을 만들어줘,
,"[{'optimizedPrompt': 'An elderly male explorer stands on a rugged rocky hill covered with snow, facing another elderly male explorer. Between them, a shimmering orb and a glowing crystal hover in mid-air, surrounded by shifting, formless smoke and parts of a massive metallic structure jutting from the ground. The two explorers exchange tense, curious glances in a moment of awe and suspense. The harsh, cold environment is illuminated by the mysterious light from the objects, casting dramatic shadows and high contrast. Cinematic style, medium shot, slow panning camera that encircles the explorers and the enigmatic objects, emphasizing their emotional reactions and the stark, snowy landscape. Exclude any blur or unwanted objects.', 'koreanSummary': '눈 덮인 거친 바위 언덕에서 노익장 남성 탐험가 둘이 서로를 바라보며, 사이에 반짝이는 구체와 빛나는 크리스탈, 형체 없는 연기, 거대한 금속 구조가 있는 긴장과 경외, 호기심이 교차하는 순간을 시네마틱하게 묘사'}]"
운동 경기에서 결승골이 들어가자 관중들이 환호하는 장면을 만들어줘,
,"[{'optimizedPrompt': ""A female athlete in a team uniform scores the winning goal on the field. The moment the goal is scored, the camera captures the stadium stands packed with excited spectators, their faces beaming with exhilaration, joy, and camaraderie. The female athlete's expression shows surprise and triumph, arms raised while her teammates run toward her in celebration. The crowd erupts in cheers, many fans standing, clapping, and raising their arms in the air. The scene is set during the daytime, with bright, vibrant lighting that emphasizes the energy of the event. Dynamic camera motion with a quick pan from the goal on the field to the stands, followed by a wide angle shot that encompasses both the celebrating athlete and the ecstatic crowd. Strong contrasts and vivid team colors create an atmosphere of unity and excitement. Exclude any blur, distortion, or unwanted objects."", 'koreanSummary': '운동장에서 여성 선수가 팀 유니폼을 입고 결승골을 넣자 관중들이 환희와 일체감으로 환호하는 장면을 역동적인 카메라 연출과 함께 묘사'}]"
유리창 너머로 눈이 내리기 시작하자 사람들이 조용히 바라보는 장면을 만들어줘,
,"[{'optimizedPrompt': 'On a chilly day, an adult and a child stand together near a large window. Outside, trees sway gently in the wind, their branches moving back and forth. Through the glass, faint snowflakes begin to fall, visible against the grey sky. The scene has a quiet, serene tone; the two figures share a silent moment, engaging in a gentle, hushed conversation, occasionally falling into a contemplative pause as they watch the beginning of the snowfall. The adult has neatly styled dark hair and wears a warm, modest sweater, while the child sports short, tousled hair and a puffy jacket. The interior lighting is soft and natural, creating a high contrast with the cold, blue-tinted light outside. The camera starts with a medium shot from behind the pair, capturing their silhouettes against the snowy scene, then slowly zooms in to frame their contemplative expressions as they gaze outward. The overall mood is peaceful and introspective, with no blur or unwanted objects, emphasizing the intimacy of the shared silence and the gentle movement of the snow and trees.', 'koreanSummary': '기온이 낮은 날, 창가에 선 아이와 어른이 바람에 흔들리는 나무와 창밖에 내리는 첫 눈을 조용히 바라보며 대화와 침묵을 나누는, 잔잔하고 고요한 분위기의 장면.'}]"
지하철 안에서 갑자기 꺼진 조명에 사람들이 놀라는 순간을 영상으로 만들어줘,
,"[{'optimizedPrompt': ""Inside a subway car with a dim, shadowy atmosphere, passengers of various ages, ethnicities, and diverse clothing styles sit and stand, displaying anxious gestures. The scene is set while the train is stopped, waiting. Suddenly, the soft ambient lighting flickers and abruptly turns off, plunging the interior into deeper darkness. Strong contrasts and vivid textures highlight tense facial expressions and subtle movements—eyes widening, hands clutching bags, or glancing uncertainly at neighbors. The camera executes a dynamic tracking shot, slowly panning across the compartment to capture each individual's startled reaction, emphasizing dramatic light shifts and creating a cinematic, high-contrast composition. Exclude any blur or visual distortions, focusing on sharp detail and authentic, textured realism."", 'koreanSummary': '지하철 내부에서 조명이 갑자기 꺼져 놀라는 다양한 옷차림의 사람들이 불안한 제스처를 보이며 강렬한 명암과 생생한 질감이 강조된 장면을 묘사함.'}]"
