input,allResults
드론이 산 위를 비행하며 일출을 촬영하는 영상을 만들어줘,
,"[{'optimizedPrompt': ""A cinematic drone perspective soaring above a mountain peak at sunrise, capturing the golden sunlight streaming down. The drone ascends and circles smoothly, revealing shimmering reflections on nearby water, grasses gently swaying in the breeze, and birds gliding through the glowing sky. Emphasize strong natural light effects and dramatic contrasts, with a wide aerial shot composition and smooth, controlled camera motion. Exclude blur, distortion, or any unwanted objects. The atmosphere is tranquil and uplifting, with the landscape transformed by the sun's first light."", 'koreanSummary': '드론 시점에서 산 정상 위를 비행하며 일출의 내리쬐는 빛을 담고, 반짝이는 물의 반사, 바람에 흔들리는 풀, 나는 새들을 보여주는 영상. 부드러운 상하·원형 비행과 드라마틱한 명암, 넓은 구도, 평온하고 희망적인 분위기가 강조됨.'}]"
어린 소년이 바닷가에서 모래성을 쌓는 장면을 만들어줘,
,"[{'optimizedPrompt': ""A young boy in a swimsuit, wearing a summer hat, is building a sandcastle on a sunlit beach with gentle waves crashing nearby. He is sitting in the warm sand, his hands carefully shaping the sandcastle, surrounded by small buckets and tools. The beach is bright and lively, with sparkling sunlight reflecting off the sand and water. The scene is depicted with charming, detailed touches, capturing the boy's happy concentration. Cinematic style with a wide shot composition, soft yet vibrant lighting, and clear focus on the boy and his creation. No blur or unwanted objects. The boy's gaze is fixed on the sandcastle as he adds intricate details, embodying the playful spirit of summer."", 'koreanSummary': '수영복과 모자를 쓴 어린 소년이 햇살이 비치는 해변에서 모래성을 쌓으며 집중하는 장면을 아기자기하게 묘사한 프롬프트입니다.'}]"
로봇이 사람과 악수를 하는 미래적인 장면을 영상으로 만들어줘,
,"[{'optimizedPrompt': 'A futuristic scene featuring a robot and a human shaking hands. The robot is constructed from highly reflective, advanced metallic material, emphasizing its futuristic nature. The human is distinctly male, dressed in modern attire. The background is dominated by a cool-toned color palette, with sleek gradients of blues and silvers, reinforcing the futuristic theme. The handshake is performed at a moderate, natural speed with smooth and flexible motions, reflecting genuine cooperation and seamless interaction. Filmed in a cinematic, high-contrast style with dramatic lighting that highlights the texture of the robot and the expressions of both figures. The camera slowly tracks in for a medium close-up, capturing the intricate details of the handshake and the mutual eye contact. The atmosphere is hopeful and advanced, focusing on the unity between man and machine. Avoid any blur, noise, or unwanted objects; maintain clarity around both the robot and the human. As the camera moves, the metallic reflections and background lighting subtly shift, enhancing the immersive experience.', 'koreanSummary': '미래적인 금속 재질의 로봇과 남성 인간이 악수하는 장면. 차가운 색감과 자연스러운, 유연한 동작 속에서 협력의 분위기를 강조. 미디엄 클로즈업과 드라마틱한 조명, 역동적인 카메라 워크로 통합과 희망을 표현.'}]"
클래식 콘서트홀에서 오케스트라가 연주하는 영상을 만들어줘,
,"[{'optimizedPrompt': 'In a grand concert hall, an orchestra is performing on stage. The ensemble is composed of string, wind, and percussion sections, led by a conductor at the front. The stage is adorned with background curtains and stage props, creating a classical atmosphere. Audience members in the foreground exhibit faces filled with anticipation. The scene is captured with a side angle shot and dynamic drone footage, showcasing the scale of the orchestra and the elegant stage setup. The composition emphasizes the unity of the musicians, the conductor’s gestures, and the refined details of the concert hall. Warm, balanced lighting highlights the performers against the backdrop, enhancing the atmosphere of sophistication. Exclude any blur, distortion, or unrelated objects.', 'koreanSummary': '클래식 콘서트홀 무대에서 현악기, 관악기, 타악기, 지휘자가 구성된 오케스트라가 연주를 펼치며, 배경 커튼과 무대 소품으로 장식된 공간에서 관객들이 기대에 찬 표정을 짓는 장면을 측면 및 드론 촬영으로 담아낸 영상 프롬프트입니다.'}]"
눈 내리는 도심 속을 혼자 걷는 남성의 감성적인 영상을 만들어줘,
,"[{'optimizedPrompt': 'A man in business attire walks alone through a city at night, softly illuminated by streetlights. He passes by a small café, casting fleeting glances through its warmly lit windows. His expression alternates between a relaxed demeanor, a gentle smile, and moments of contemplation. The visual atmosphere features dreamy lighting and is portrayed either in black-and-white tones, with a sense of nostalgia and emotion, or with a warm, inviting color palette. The scene embraces both soft, atmospheric cold tones and gentle highlights, amplifying the moody, introspective feel. Cinematic wide, medium, and occasional close-up shots capture his slow, thoughtful steps and shifting gaze. Camera smoothly tracks and pans, focusing on the interplay of light, shadows, and the reflective city environment. Exclude any blur or unwanted distortion, keeping the city nocturne aesthetic pure and evocative.', 'koreanSummary': '비즈니스 복장의 남성이 가로등이 비추는 도심 속 작은 카페를 지나 혼자 걷고, 편안한 표정과 즐거운 미소, 사색적인 표정을 번갈아 보이며 감성적으로 연출된 영상'}]"
